Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Oiya Restaurant,"New Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Coffee,  Shakes",4.3,17,500
Tasty Sweets and Restaurant,"Nanda Nagar, North Indore", North Indore,Indore,"North Indian,  Chinese,  Fast Food",4.2,7,600
Sizzling Treat,"Hotel Crown Palace,South Tukoganj, East Indore", East Indore,Indore,"North Indian,  Continental,  Oriental ",4.4,21,1500
The Pantry Project,"New Palasia, Central Indore", Central Indore,Indore,"Italian,  Chinese,  Mexican,  Desserts",5,1,600
Agrawal's 420 Bites,"NM Tower,New Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Bakery and Confectionary,  Desserts",4.4,83,400
Vidorra,"Shekhar Central,Old Palasia, Central Indore", Central Indore,Indore,"North Indian,  Chinese,  Finger Food",4.1,130,1200
Ice Balls and Slice Square,"New Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Ice Cream",4.6,16,300
54 Praangan,"Indore Marriott Hotel,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Awadhi,  Mughlai",4.4,105,3300
Cafe Bake Well,"Hotel Crown Palace,South Tukoganj, East Indore", East Indore,Indore,"North Indian,  Chinese,  Fast Food,  Italian,  Desserts",4.2,36,600
Mama Loca,"New Palasia, Central Indore", Central Indore,Indore,"Lebanese,  Greek,  Italian",4,37,1200
The Papaya Kitchen,"Papaya Tree Hotel,Rau, South Indore", South Indore,Indore,"North Indian,  Chinese",3.9,14,1500
Chakhna Cafe,"Shekhar Central,Old Palasia, Central Indore", Central Indore,Indore,"Fast Food,  North Indian,  Chinese",5,1,500
Sam's Momos & Rolls,"New Palasia, Central Indore", Central Indore,Indore,"Fast Food,  North Indian,  Chinese",4.3,65,600
Four More Shots,"New Palasia, Central Indore", Central Indore,Indore,"North Indian,  Mughlai,  Finger Food",3.5,24,1600
India Junction,"South Tukoganj, East Indore", East Indore,Indore,"North Indian,  Chinese",3.9,83,1100
Crosswind,"Apollo Square,New Palasia, Central Indore", Central Indore,Indore,"North Indian,  Chinese",3.3,108,2000
Chang's Legacy,"Vijay Nagar, East Indore", East Indore,Indore,"Chinese,  Asian",4.2,192,900
Lancer Cocktail Lounge,"Hotel Crown Palace,South Tukoganj, East Indore", East Indore,Indore,"North Indian,  Continental,  Oriental ",3.7,3,2000
Tealogy,"South Tukoganj, East Indore", East Indore,Indore,"Fast Food,  Tea",2.1,3,300
One Asia,"Indore Marriott Hotel,Vijay Nagar, East Indore", East Indore,Indore,"Asian,  Chinese,  Thai",4.6,83,2500
SHOWOFF Bar & Kitchen,"Airen Heights,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Continental,  Italian",3.9,109,1600
The Backyard Bowl,"Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Chinese,  Continental",3.5,5,1000
Banana Leaf,"Malhar Mega Mall,Vijay Nagar, East Indore", East Indore,Indore,South Indian,4.2,149,800
Little Italy,"Brilliant Convention Centre,Vijay Nagar, East Indore", East Indore,Indore,"Italian,  Pizza,  Mexican",4.5,242,1400
Indore Kitchen,"Indore Marriott Hotel,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Italian,  Asian,  Fast Food",4.1,539,3000
COD - Come On Dear,"South Tukoganj, East Indore", East Indore,Indore,Fast Food,3.1,8,600
5/78 Skybar,"Brilliant Convention Centre,Vijay Nagar, East Indore", East Indore,Indore,"Asian,  Finger Food,  Italian",4.6,175,2000
Dosa Craft,"One Centre Mall,New Palasia, Central Indore", Central Indore,Indore,South Indian,3.3,63,400
Agent Jack's Bar,"Headquarter Building,Vijay Nagar, East Indore", East Indore,Indore,"Finger Food,  Fast Food,  North Indian,  Italian",3.8,54,1100
Angaraa,"The Mark Building,Old Palasia, Central Indore", Central Indore,Indore,"North Indian,  Chinese",3.5,116,800
Brix & Barrels,"Bhanwar Kuan, South Indore", South Indore,Indore,"North Indian,  Continental,  Mughlai",1,1,1500
Kebabsville,"Sayaji Hotel,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Barbecue",4.3,197,1800
Tea Diaries,"YN Road, Central Indore", Central Indore,Indore,Fast Food,1.6,15,500
Not So Desi,"Brilliant Convention Centre,Vijay Nagar, East Indore", East Indore,Indore,Modern Indian,4.5,90,1600
Ego,"Shekhar Central,Old Palasia, Central Indore", Central Indore,Indore,"North Indian,  Chinese,  Finger Food",3.2,3,1200
Revolution,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Fast Food,  Continental",3.1,16,2400
Cafe Terazza,"Airen Heights,Vijay Nagar, East Indore", East Indore,Indore,"Italian,  Chinese,  Fast Food",3.6,120,1000
Cravings,"Sayaji Hotel,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Italian,  Chinese",4.5,188,1800
Aloha Rooftop,"Hotel Silvotel,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Chinese,  Fast Food",4,179,1200
Chill Baby,"Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Chinese,  Coffee,  Shakes",4.3,66,500
Sardarji's Punjabi Zayka,"Rau, South Indore", South Indore,Indore,"North Indian,  Chinese",3.4,2,800
Veg Bites,"South Tukoganj, East Indore", East Indore,Indore,"Fast Food,  Chinese",2.1,16,600
Ring Road Social,"Nipania, East Indore", East Indore,Indore,"North Indian,  Continental,  American,  Asian",4.2,5,2000
Bella Pizzeria,"Old Palasia, Central Indore", Central Indore,Indore,"Italian,  Fast Food",3.6,15,800
Chicago Pizza,"Navneet Tower,Old Palasia, Central Indore", Central Indore,Indore,"Italian,  Pizza",3.9,6,800
Zuby's FNF,"Navneet Plaza,Old Palasia, Central Indore", Central Indore,Indore,Fast Food,3.7,16,500
Singh Sahab,"Navneet Tower,Old Palasia, Central Indore", Central Indore,Indore,"North Indian,  Chinese",3.8,15,800
Pitchers Cafe Bar,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Italian,  Fast Food",3.7,94,1200
Enrise By Sayaji,"Rau, South Indore", South Indore,Indore,"North Indian,  Italian,  Chinese",4.1,76,1000
The High Garden,"Old Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Health Food",3.6,27,600
Tealogy,"Old Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Tea",5,1,300
Trance The Pub,"Gamini Mall,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Chinese",4.6,53,1500
Cake Me Up,"Hotel WOW,Vijay Nagar, East Indore", East Indore,Indore,"Bakery and Confectionary,  Desserts",4.7,3,600
Mr. Beans,"Old Palasia, Central Indore", Central Indore,Indore,"Italian,  Continental,  Coffee,  Tea",3.8,142,1000
Indore Baking Company,"Indore Marriott Hotel,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Continental,  Bakery and Confectionary,  Coffee,  Tea",4.4,45,1600
Cakes N Craft,"Old Palasia, Central Indore", Central Indore,Indore,"Bakery and Confectionary,  Desserts",4.1,16,500
Bunk,"Vijay Nagar, East Indore", East Indore,Indore,Fast Food,4.3,3,300
Zakir Family Restaurant,"Khajrana, East Indore", East Indore,Indore,"North Indian,  Mughlai,  Chinese",4.3,52,400
Panache,"Vijay Nagar, East Indore", East Indore,Indore,North Indian,4.5,4,400
Effe Cafe,"Papaya Tree Hotel,Rau, South Indore", South Indore,Indore,Fast Food,3.9,16,1200
Shosha Cafebar,"Vijay Nagar, East Indore", East Indore,Indore,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  Asian",3.5,40,2200
Tic Tac Toe,"Giriraj Grande,Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  North Indian,  Fusion",4,203,1800
Zest,"Papaya Tree Hotel,Rau, South Indore", South Indore,Indore,"North Indian,  Italian,  Chinese,  Fast Food",3.8,5,1700
Occasion,"Hotel Amar Vilas,Chandra Nagar, North Indore", North Indore,Indore,"Desserts,  Bakery and Confectionary",4.1,5,500
Pind Balluchi,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Mughlai",3.7,106,1400
Veg Bites,"Old Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Chinese",4.3,15,600
The Sultan's,"Rau, South Indore", South Indore,Indore,"North Indian,  Chinese,  Mughlai",3.3,44,1000
Salt and Pepper,"Hotel Amar Vilas,Chandra Nagar, North Indore", North Indore,Indore,"North Indian,  Continental,  Oriental ",3.5,96,1800
Gordhan Thal,"C21 Mall,Vijay Nagar, East Indore", East Indore,Indore,North Indian,3.9,22,700
Tealogy,"Airen Heights,Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Tea",3.9,5,300
London Bubble Co.,"Vijay Nagar, East Indore", East Indore,Indore,Desserts,3.8,4,300
Twilight,"Hotel WOW,Vijay Nagar, East Indore", East Indore,Indore,Finger Food,4.5,40,2200
Mama Loca,"Vijay Nagar, East Indore", East Indore,Indore,"Lebanese,  Greek,  Italian",4.5,50,1200
Sassy House - All Day Cafe,"Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  North Indian",3.9,26,800
Couple Lounge,"Hotel Amar Vilas,Chandra Nagar, North Indore", North Indore,Indore,"North Indian,  Chinese,  Continental",3.6,50,1500
Cream Centre,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Chinese,  Mexican,  Street Food",4.1,124,1800
The Beer Cafe,"BCM Heights,Vijay Nagar, East Indore", East Indore,Indore,"Finger Food,  North Indian,  Italian",3.8,36,1600
Cube,"Hotel Effotel,Vijay Nagar, East Indore", East Indore,Indore,"European,  Asian,  American",4.5,213,1200
JAL - A Jungle Restaurant,"Bhanwar Kuan, South Indore", South Indore,Indore,"North Indian,  Chinese,  Fast Food",4.2,102,1000
Freito,"Vijay Nagar, East Indore", East Indore,Indore,"American,  Italian,  Asian",4.1,213,1200
The Story Cafe,"SN Arcade,Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Italian,  Chinese,  Mexican",3.5,42,700
Atul Sandwich And Cafe,"Navneet Plaza,Old Palasia, Central Indore", Central Indore,Indore,Fast Food,2.8,9,400
Chill Baby,"Siyaganj, Central Indore", Central Indore,Indore,Fast Food,3,3,500
Brother's Cafe,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Fast Food",4.6,3,500
10 Downing Street,"Malhar Mega Mall,Vijay Nagar, East Indore", East Indore,Indore,Finger Food,4,18,1600
Veg Bites,"Chandra Nagar, North Indore", North Indore,Indore,"Fast Food,  Chinese",3.4,6,600
The Lounge Bar,"Hotel Amar Vilas,Chandra Nagar, North Indore", North Indore,Indore,"North Indian,  Chinese",3,6,1500
Laxmi Narayan Doodhwala,"The Mark Building,Old Palasia, Central Indore", Central Indore,Indore,Mithai,3.1,2,200
Tandoori Darbar Family Restaurant,"Old Palasia, Central Indore", Central Indore,Indore,"North Indian,  Fast Food",3.2,25,400
Kava,"Fairfield by Marriott Indore,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Italian,  Asian",3.8,445,1600
Riddhi Siddhi,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  South Indian",3.1,28,700
Food Fantasy,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Chinese",3.9,14,600
Hotel Prithviraj,"Vijay Nagar, East Indore", East Indore,Indore,North Indian,4.1,3,700
Capers,"Hotel Effotel,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Mediterranean,  Oriental ",4.6,62,1900
Chai Kaapi,"Old Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Tea",2.9,23,400
Quick Meal by FUNDORE,"Rau, South Indore", South Indore,Indore,"North Indian,  Chinese",4.5,6,500
The Spoonful Cafe,"Vijay Nagar, East Indore", East Indore,Indore,North Indian,3.8,16,250
Chick N Serve,"Khajrana, East Indore", East Indore,Indore,"Lebanese,  Fast Food,  North Indian,  Chinese",4.3,3,900
Bake N Shake,"Giriraj Grande,Vijay Nagar, East Indore", East Indore,Indore,"Italian,  Fast Food,  Bakery and Confectionary,  Desserts,  Coffee,  Shakes",3.9,47,800
Applause,"Khajrana, East Indore", East Indore,Indore,"Italian,  Finger Food",4.6,3,2000
Mister Shef,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Italian,  Chinese,  Continental",3,17,800
Lamiyas,"Nipania, East Indore", East Indore,Indore,Arabian,4.5,2,500
Food Mahal,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Chinese,  Fast Food",3.4,8,500
Ketley - The Modern Tapri,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Italian,  Fast Food",2.5,4,500
Wanna Puff,"Rau, South Indore", South Indore,Indore,"North Indian,  Fast Food",3.7,26,700
BBC - Billiards Bar Cafe,"Vijay Nagar, East Indore", East Indore,Indore,Fast Food,3,2,400
Ozone Wine And Dine,"Khajrana, East Indore", East Indore,Indore,"North Indian,  Finger Food",3.6,43,2000
Split Bean,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Italian,  Chinese",3.1,30,1000
Koffee King,"New Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Coffee,  Desserts,  Ice Cream",1,2,400
Cafe Chapter One,"Vijay Nagar, East Indore", East Indore,Indore,"Italian,  Fast Food,  Desserts,  Coffee,  Tea",4.5,97,900
Ecstacy By Hakeem's,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Italian,  Oriental ,  Continental",4.3,122,1200
Frespresso,"Hotel Mangal Regency,Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Coffee",4.8,7,700
Ethyl Bar,"Radisson Blu Hotel Indore,Vijay Nagar, East Indore", East Indore,Indore,Finger Food,4.3,2,2800
The Barbeque Delight,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Barbecue",4.6,36,1100
The Market,"Fairfield by Marriott Indore,Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Coffee,  Tea",4.3,17,800
Good Old Days - Bar,"Hotel Effotel,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Mediterranean,  Oriental ",4.2,22,1500
Wah Ji Wah,"Shekhar Planet,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Chinese",3.7,5,700
CakeSmith's Alley,"Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Desserts,  Bakery and Confectionary",1.8,5,600
Dhaba Cafe,"Metro Tower,Vijay Nagar, East Indore", East Indore,Indore,"Street Food,  Fast Food",2.7,3,500
Anand Shree Fruit Bonanza,"Vijay Nagar, East Indore", East Indore,Indore,"Chinese,  South Indian,  Fast Food,  Shakes,  Italian,  Street Food,  Desserts,  Ice Cream,  Pizza",3.5,8,600
Chai Kaapi,"Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Tea",3.4,5,400
Ranjeet's Kitchen,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Chinese",3.7,56,400
Spice Route,"Shekhar Planet,Vijay Nagar, East Indore", East Indore,Indore,South Indian,2.8,3,500
La Foret - The Forest Cafe,"Indore By Pass Road, East Indore", East Indore,Indore,"Fast Food,  Shakes",4.8,5,600
Kuk du Kuu,"BCM Heights,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Mughlai,  Chinese",2.6,12,800
Bakerywala,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Fast Food,  Italian,  Chinese,  South Indian",3.2,5,500
Noor's Kitchen,"Shekhar Planet,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Fast Food",2.6,9,800
Cakes N Craft,"Shekhar Planet,Vijay Nagar, East Indore", East Indore,Indore,"Bakery and Confectionary,  Desserts",2.5,2,500
The Allahabadi,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Mughlai",3,3,800
Veerji's Biryani,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Biryani",5,2,1000
Moonshine Restaurant,"Hotel Regal Regency,Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Mughlai,  Fast Food",4,1,800
Taste Of Town,"Vijay Nagar, East Indore", East Indore,Indore,Fast Food,1,1,400
Chai Kaapi,"Khajrana, East Indore", East Indore,Indore,"Fast Food,  Tea",2.9,7,400
Chai Kaapi,"Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Tea",4.5,9,400
GFC - The Great Food Company,"Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Chinese",4.5,15,1000
Echidna Restobrew,"Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Mediterranean,  Barbecue,  Oriental ",3.6,88,2000
Bamboo Tree,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Chinese,  Continental,  Asian",4,9,900
Tiffany Blues,"Pride Hotel,Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Continental,  Fast Food",4.4,70,1200
Tasty Foods,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Chinese,  South Indian,  Fast Food",4.6,5,700
Mama's Kitchen,"Indore By Pass Road, East Indore", East Indore,Indore,North Indian,5,1,700
Pakka South,"Vijay Nagar, East Indore", East Indore,Indore,South Indian,3.6,13,500
Drool- The Highway Shack,"Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Chinese,  Fast Food",4.1,22,1000
The Silver Dining,"Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Chinese",4.6,5,800
Black Pearl,"Chitragupt Square,Vijay Nagar, East Indore", East Indore,Indore,North Indian,2.7,19,900
Fire & Smoke,"Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Chinese,  Continental",4.4,413,1200
Chai Kaapi,"Indore By Pass Road, East Indore", East Indore,Indore,"Fast Food,  Tea",2.6,32,400
10 Eleven Cafe,"Bicholi Mardana, West Indore", West Indore,Indore,"North Indian,  Fast Food",1,1,300
Drunken Monkey,"Vijay Nagar, East Indore", East Indore,Indore,"Health Food,  Juice,  Shakes,  Fast Food,  Coffee",3.5,12,400
Cafe Blue Turtle,"Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Fast Food,  Italian",4.3,32,1500
The Secret Table,"The Royal Garha Golf Club,Indore By Pass Road, East Indore", East Indore,Indore,"Italian,  Continental,  Desserts,  Bakery and Confectionary",4.7,67,1100
Malt,"The Sheraton Grand,Indore By Pass Road, East Indore", East Indore,Indore,Finger Food,4,22,2000
Chai Kaapi,"Indore By Pass Road, East Indore", East Indore,Indore,"Fast Food,  Tea",3,2,400
Courtyard,"Crescent Spa And Resort,Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Chinese",4.6,34,2100
Shack Pool Bar & Grill,"Crescent Spa And Resort,Indore By Pass Road, East Indore", East Indore,Indore,Finger Food,4.5,9,2000
The Garden Restaurant,"Indore By Pass Road, East Indore", East Indore,Indore,"North Indian,  Fast Food,  Chinese",2.2,11,500
The F3 Bar,"Radisson Udaipur,Ashok Nagar, Central Udaipur", Central Udaipur,Udaipur,Finger Food,4.5,9,2000
Seasons Cafe,"Radisson Udaipur,Ashok Nagar, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Continental,  Oriental ",4.3,16,1600
Foodgram Cafe,"Ayad Rural, East Udaipur", East Udaipur,Udaipur,"North Indian,  Italian,  Chinese",4,6,700
Parkview Heights,"Ashok Nagar, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Chinese,  Continental,  Mughlai",4.1,14,600
Marky Momos,"Shobhagpura, West Udaipur", West Udaipur,Udaipur,Chinese,3.9,10,1000
Notomoro,"The Fern Residency,Hiran Magri, South Udaipur", South Udaipur,Udaipur,Continental,3.9,27,1200
The Artist House,"Surajpole, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Italian,  Fast Food",4.3,64,800
The Farmhouse Cafe,"Shakti Nagar, Central Udaipur", Central Udaipur,Udaipur,"Italian,  Chinese",5,1,1000
Rootage Restaurant and Lounge,"Nada Khada, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Fast Food,  Italian,  Mexican",4.2,64,1200
Rootage Bar,"Nada Khada, Central Udaipur", Central Udaipur,Udaipur,Finger Food,4.4,15,900
The Tick Tock Cafe,"Shobhagpura, West Udaipur", West Udaipur,Udaipur,"North Indian,  Fast Food,  Chinese,  Coffee,  Shakes",4.4,18,700
Traditional Khana,"Panchwati, Central Udaipur", Central Udaipur,Udaipur,Rajasthani,4.7,15,1000
Platterzz,"Bhopalpura, Central Udaipur", Central Udaipur,Udaipur,"North Indian,  Italian,  Thai",2.8,4,1000
Coffee Culture The Ristorante Lounge,"Shobhagpura, West Udaipur", West Udaipur,Udaipur,"Italian,  Pizza,  Fast Food,  Sizzlers",4.2,99,900
Sun and Moon Restaurant,"Chand Pole, South Udaipur", South Udaipur,Udaipur,"North Indian,  Italian,  Fast Food",3.9,104,1000
Foogle,"Panchwati, Central Udaipur", Central Udaipur,Udaipur,"Italian,  Fast Food",4.3,8,500
Barbeque Nation,"Bhuwana, West Udaipur", West Udaipur,Udaipur,"North Indian,  Mughlai,  Barbecue,  Chinese",4.3,34,1300
Oladar Village Restaurant and Cafe,"Pichola, South Udaipur", South Udaipur,Udaipur,"North Indian,  Italian,  Fast Food",4.1,20,1400
Z 27 By Cafe Lakecity,"Radhe Plaza,Shobhagpura, West Udaipur", West Udaipur,Udaipur,"Fast Food,  Italian",3,1,500
BeingFit Kitchen & Cafe,"Panchwati, Central Udaipur", Central Udaipur,Udaipur,"Italian,  Continental,  Mexican",4.3,30,400
Oko,"Fateh Sagar, West Udaipur", West Udaipur,Udaipur,Asian,5,1,1000
Twist Family Lounge & Bar,"Shobhagpura, West Udaipur", West Udaipur,Udaipur,"North Indian,  Chinese,  Continental,  Mexican",3.4,19,600
Shamiana  Restaurant,"Ambamata, West Udaipur", West Udaipur,Udaipur,"North Indian,  Continental",3.9,28,500
Jannat Rooftop Bar at Hilltop,"Fateh Sagar, West Udaipur", West Udaipur,Udaipur,North Indian,5,1,1400
Cafe Boho,"Chand Pole, South Udaipur", South Udaipur,Udaipur,"North Indian,  Fast Food",4.3,3,700
Aab-o-Dana at Hilltop,"Hotel Hilltop Palace,Fateh Sagar, West Udaipur", West Udaipur,Udaipur,North Indian,4.3,3,2100
Bal Bal To,"Shobhagpura, West Udaipur", West Udaipur,Udaipur,"North Indian,  Chinese,  Fast Food",2.3,5,700
Ark,"Hiran Magri, South Udaipur", South Udaipur,Udaipur,"Continental,  Oriental ,  North Indian",5,3,2200
Foodies Nation,"Ambamata, West Udaipur", West Udaipur,Udaipur,"North Indian,  Chinese,  Fast Food",3.5,2,600
Panna Vilas Restaurant and Lounge,"Fateh Sagar, West Udaipur", West Udaipur,Udaipur,"North Indian,  Italian,  Asian",4,65,1100
The Whistling Teal Restaurant,"Haridas Ji Ki Magri, South Udaipur", South Udaipur,Udaipur,"North Indian,  Chinese",4.2,11,1000
Inder Prakash,"Fateh Sagar, West Udaipur", West Udaipur,Udaipur,"North Indian,  Chinese,  Continental",4.3,22,1400
Square Terrace By Chunda Palace,"Haridas Ji Ki Magri, South Udaipur", South Udaipur,Udaipur,"Multi-Cuisine,  Italian,  Continental,  Asian,  Rajasthani",4.9,9,1500
Royal Cuisine By Chunda Palace,"Haridas Ji Ki Magri, South Udaipur", South Udaipur,Udaipur,"North Indian,  Rajasthani",4.6,21,1500
Soul by Sun and Moon,"Haridas Ji Ki Magri, South Udaipur", South Udaipur,Udaipur,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Mughlai",4,59,800
Ranaji,"Fateh Sagar, West Udaipur", West Udaipur,Udaipur,"North Indian,  Chinese",3.7,6,1100
RJ27,"Fateh Sagar, West Udaipur", West Udaipur,Udaipur,"North Indian,  Mughlai,  Fast Food",5,2,1600
Bay Leaf,"Bamboo Saa Resort & Spa,Fateh Sagar, West Udaipur", West Udaipur,Udaipur,"North Indian,  Continental,  Oriental ,  Mexican",4.6,9,1700
Myra,"Ramada Resort and Spa,Fateh Sagar, West Udaipur", West Udaipur,Udaipur,"North Indian,  Rajasthani,  Italian,  Oriental ",4.4,9,2900
Liquid Lounge,"Ramada Resort and Spa,Fateh Sagar, West Udaipur", West Udaipur,Udaipur,Finger Food,4,2,1000
The White Fresco,"Sajjan Nagar, South Udaipur", South Udaipur,Udaipur,"North Indian,  Chinese,  Continental",3.4,9,700
Baradari,"Hotel Fateh Garh,Bujra, West Udaipur", West Udaipur,Udaipur,Multi-Cuisine,3.7,9,1200
Zest by Amantra Shilpi,"Amantra Shilpi Resort,Fateh Sagar, West Udaipur", West Udaipur,Udaipur,"North Indian,  Continental",1,1,1200
Star Ultimate Pizza,"Arjun Nagar, West Agra", West Agra,Agra,Fast Food,4.4,2,400
Downtown Cafe,"Hotel Moti Palace,Rakabganj, Central Agra", Central Agra,Agra,"North Indian,  Italian",4.4,41,2200
Pankhuri Restaurant,"Hotel Moti Palace,Rakabganj, Central Agra", Central Agra,Agra,"North Indian,  Italian,  Chinese",4.2,13,1000
New Pizza King,"Shahganj, West Agra", West Agra,Agra,"Italian,  Pizza",4.3,4,200
Berco's,"Civil Lines, North Agra", North Agra,Agra,"Chinese,  Thai",4.3,34,1300
2nd Wife,"Mehar Complex,Rakabganj, Central Agra", Central Agra,Agra,"North Indian,  Italian,  Oriental ",3.8,17,1100
Capri Restaurant,"Civil Lines, North Agra", North Agra,Agra,"North Indian,  Mughlai,  Chinese",3.9,13,1100
The Greens Restaurant & Herbal Cafe,"Rakabganj, Central Agra", Central Agra,Agra,"North Indian,  Chinese,  South Indian",4.2,4,1000
Healthmafia,"Civil Lines, North Agra", North Agra,Agra,Health Food,5,1,200
Raj Rasoi,"Sanjay Place, Central Agra", Central Agra,Agra,"North Indian,  Chinese,  Fast Food",4.3,23,1200
Green Chick Chop,"Khandari, North Agra", North Agra,Agra,"North Indian,  Fast Food",5,3,300
Cafe G,"Holiday Inn Agra MG Road,Civil Lines, North Agra", North Agra,Agra,"North Indian,  Chinese,  South Indian,  Mughlai",4.5,14,2500
Lobby Bar,"Holiday Inn Agra MG Road,Civil Lines, North Agra", North Agra,Agra,Finger Food,4.5,4,2000
Barbeque Nation,"Ashok Cosmos Mall,Sanjay Place, Central Agra", Central Agra,Agra,North Indian,4.2,72,1100
Hungernomia,"Civil Lines, North Agra", North Agra,Agra,Fast Food,4.5,2,600
DJLECIOUS,"Civil Lines, North Agra", North Agra,Agra,Bakery and Confectionary,5,3,400
Tea Coffee And Snacks,"Sanjay Place, Central Agra", Central Agra,Agra,"Coffee,  Tea,  Fast Food",4.1,13,200
Kitchen on Fire,"Sanjay Place, Central Agra", Central Agra,Agra,"North Indian,  Chinese,  Continental",4.4,5,1100
Burger 27,"Sanjay Place, Central Agra", Central Agra,Agra,Fast Food,4.5,15,800
Rolls Nation,"Sanjay Place, Central Agra", Central Agra,Agra,Fast Food,4.6,20,300
Fatman & Co,"Khandari, North Agra", North Agra,Agra,"North Indian,  Italian,  Continental",4.6,6,500
The Forest,"Sikandra, North Agra", North Agra,Agra,"North Indian,  Chinese,  South Indian",4.1,4,700
Tirupati's Dosa Factory,"Civil Lines, North Agra", North Agra,Agra,South Indian,4.1,35,600
Hangout- The Lounge Bar,"Lohamandi, West Agra", West Agra,Agra,Finger Food,4.5,11,600
Fakira,"Hotel Bhawna Clarks Inn,Lohamandi, West Agra", West Agra,Agra,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4,52,2100
Kings Spoon,"Sikandra, North Agra", North Agra,Agra,"North Indian,  Chinese,  Continental",4.8,5,500
Sagar Ratna,"Khandari, North Agra", North Agra,Agra,"South Indian,  North Indian,  Chinese",4.2,12,700
Beep Uncensored,"Tajganj, East Agra", East Agra,Agra,"North Indian,  Italian,  Fast Food",4.3,53,1400
Desi Cafe,"Jeoni Mandi, North Agra", North Agra,Agra,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.6,57,1100
